name,brand,gender,category,size,price,url,img_url,article_no,blob_url
JUNIOR SHORT,Colmar,boy,SHORTS,14 år,"
539 SEK899 SEK ",https://kidsbrandstore.se/colmar-junior-short-35176,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/colmar_shorts_bla_barnklader_35176-m8qp.jpg,product-entry-id-35176,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35176
JUNIOR SHORT,Colmar,boy,SHORTS,16 år,"
539 SEK899 SEK ",https://kidsbrandstore.se/colmar-junior-short-35176,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/colmar_shorts_bla_barnklader_35176-m8qp.jpg,product-entry-id-35176,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35176
K NONTHE,Napapijri,boy,SHORTS,10 år,"
299 SEK499 SEK ",https://kidsbrandstore.se/napapijri-k-nonthe-34829,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_bla_barnklader_34829-t5dx.jpg,product-entry-id-34829,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34829
K NONTHE,Napapijri,boy,SHORTS,12 år,"
299 SEK499 SEK ",https://kidsbrandstore.se/napapijri-k-nonthe-34829,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_bla_barnklader_34829-t5dx.jpg,product-entry-id-34829,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34829
K NONTHE,Napapijri,boy,SHORTS,14 år,"
299 SEK499 SEK ",https://kidsbrandstore.se/napapijri-k-nonthe-34829,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_bla_barnklader_34829-t5dx.jpg,product-entry-id-34829,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34829
K NONTHE,Napapijri,boy,SHORTS,10 år,"
299 SEK499 SEK ",https://kidsbrandstore.se/napapijri-k-nonthe-34828,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_svart_barnklader_34828-xj9r.jpg,product-entry-id-34828,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34828
K NONTHE,Napapijri,boy,SHORTS,12 år,"
299 SEK499 SEK ",https://kidsbrandstore.se/napapijri-k-nonthe-34828,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_svart_barnklader_34828-xj9r.jpg,product-entry-id-34828,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34828
K NONTHE,Napapijri,boy,SHORTS,14 år,"
299 SEK499 SEK ",https://kidsbrandstore.se/napapijri-k-nonthe-34828,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_svart_barnklader_34828-xj9r.jpg,product-entry-id-34828,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34828
K NONTHE,Napapijri,boy,SHORTS,10 år,"
299 SEK499 SEK ",https://kidsbrandstore.se/napapijri-k-nonthe-34827,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_gra_barnklader_34827-kq_-.jpg,product-entry-id-34827,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34827
K NONTHE,Napapijri,boy,SHORTS,12 år,"
299 SEK499 SEK ",https://kidsbrandstore.se/napapijri-k-nonthe-34827,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_gra_barnklader_34827-kq_-.jpg,product-entry-id-34827,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34827
K NONTHE,Napapijri,boy,SHORTS,14 år,"
299 SEK499 SEK ",https://kidsbrandstore.se/napapijri-k-nonthe-34827,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_gra_barnklader_34827-kq_-.jpg,product-entry-id-34827,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34827
K NARRA 1,Napapijri,boy,SHORTS,10 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/napapijri-k-narra-1-34801,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_bla_barnklader_34801-svxr.jpg,product-entry-id-34801,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34801
K NARRA 1,Napapijri,boy,SHORTS,12 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/napapijri-k-narra-1-34801,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_bla_barnklader_34801-svxr.jpg,product-entry-id-34801,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34801
K NARRA 1,Napapijri,boy,SHORTS,14 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/napapijri-k-narra-1-34801,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_bla_barnklader_34801-svxr.jpg,product-entry-id-34801,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34801
K NARRA 1,Napapijri,boy,SHORTS,10 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/napapijri-k-narra-1-34790,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_gra_barnklader_34790-0vu3.jpg,product-entry-id-34790,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34790
K NARRA 1,Napapijri,boy,SHORTS,12 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/napapijri-k-narra-1-34790,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_gra_barnklader_34790-0vu3.jpg,product-entry-id-34790,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34790
K NARRA 1,Napapijri,boy,SHORTS,14 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/napapijri-k-narra-1-34790,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_gra_barnklader_34790-0vu3.jpg,product-entry-id-34790,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34790
K NARRA 1,Napapijri,boy,SHORTS,10 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/napapijri-k-narra-1-34789,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_beige_barnklader_34789-ubda.jpg,product-entry-id-34789,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34789
K NARRA 1,Napapijri,boy,SHORTS,12 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/napapijri-k-narra-1-34789,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_beige_barnklader_34789-ubda.jpg,product-entry-id-34789,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34789
K NARRA 1,Napapijri,boy,SHORTS,14 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/napapijri-k-narra-1-34789,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/napapijri_shorts_beige_barnklader_34789-ubda.jpg,product-entry-id-34789,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34789
Lightweight chino shorts with washing,Scotch & Soda,boy,SHORTS,10 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/scotch-soda-lightweight-chino-shorts-with-washing-34443,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/scotch---soda_shorts_orange_barnklader_34443-ezfj.jpg,product-entry-id-34443,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34443
Lightweight chino shorts with washing,Scotch & Soda,boy,SHORTS,12 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/scotch-soda-lightweight-chino-shorts-with-washing-34443,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/scotch---soda_shorts_orange_barnklader_34443-ezfj.jpg,product-entry-id-34443,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34443
Lightweight chino shorts with washing,Scotch & Soda,boy,SHORTS,14 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/scotch-soda-lightweight-chino-shorts-with-washing-34443,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/scotch---soda_shorts_orange_barnklader_34443-ezfj.jpg,product-entry-id-34443,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34443
Lightweight chino shorts with washing,Scotch & Soda,boy,SHORTS,16 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/scotch-soda-lightweight-chino-shorts-with-washing-34443,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/scotch---soda_shorts_orange_barnklader_34443-ezfj.jpg,product-entry-id-34443,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34443
Chino shorts with all-over embroidery,Scotch & Soda,boy,SHORTS,10 år,"
419 SEK699 SEK ",https://kidsbrandstore.se/scotch-soda-chino-shorts-with-all-over-embroidery-34442,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/scotch---soda_shorts_bla_barnklader_34442-fuoy.jpg,product-entry-id-34442,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34442
Chino shorts with all-over embroidery,Scotch & Soda,boy,SHORTS,12 år,"
419 SEK699 SEK ",https://kidsbrandstore.se/scotch-soda-chino-shorts-with-all-over-embroidery-34442,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/scotch---soda_shorts_bla_barnklader_34442-fuoy.jpg,product-entry-id-34442,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34442
Chino shorts with all-over embroidery,Scotch & Soda,boy,SHORTS,14 år,"
419 SEK699 SEK ",https://kidsbrandstore.se/scotch-soda-chino-shorts-with-all-over-embroidery-34442,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/scotch---soda_shorts_bla_barnklader_34442-fuoy.jpg,product-entry-id-34442,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34442
Chino shorts with all-over embroidery,Scotch & Soda,boy,SHORTS,16 år,"
419 SEK699 SEK ",https://kidsbrandstore.se/scotch-soda-chino-shorts-with-all-over-embroidery-34442,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/scotch---soda_shorts_bla_barnklader_34442-fuoy.jpg,product-entry-id-34442,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34442
BERMUDA 5 PALLE,Diadora,boy,SHORTS,M,"
149 SEK249 SEK ",https://kidsbrandstore.se/diadora-bermuda-5-palle-35582,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/diadora_shorts_bla_barnklader_35582-r48c.jpg,product-entry-id-35582,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35582
BERMUDA 5 PALLE,Diadora,boy,SHORTS,L,"
149 SEK249 SEK ",https://kidsbrandstore.se/diadora-bermuda-5-palle-35582,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/diadora_shorts_bla_barnklader_35582-r48c.jpg,product-entry-id-35582,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35582
BERMUDA 5 PALLE,Diadora,boy,SHORTS,XL,"
149 SEK249 SEK ",https://kidsbrandstore.se/diadora-bermuda-5-palle-35582,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/diadora_shorts_bla_barnklader_35582-r48c.jpg,product-entry-id-35582,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35582
BERMUDA 5 PALLE,Diadora,boy,SHORTS,XXL,"
149 SEK249 SEK ",https://kidsbrandstore.se/diadora-bermuda-5-palle-35582,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/diadora_shorts_bla_barnklader_35582-r48c.jpg,product-entry-id-35582,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35582
BERMUDA 5 PALLE,Diadora,boy,SHORTS,M,"
149 SEK249 SEK ",https://kidsbrandstore.se/diadora-bermuda-5-palle-35581,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/diadora_shorts_bla_barnklader_35581-f82y.jpg,product-entry-id-35581,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35581
BERMUDA 5 PALLE,Diadora,boy,SHORTS,L,"
149 SEK249 SEK ",https://kidsbrandstore.se/diadora-bermuda-5-palle-35581,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/diadora_shorts_bla_barnklader_35581-f82y.jpg,product-entry-id-35581,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35581
BERMUDA 5 PALLE,Diadora,boy,SHORTS,XL,"
149 SEK249 SEK ",https://kidsbrandstore.se/diadora-bermuda-5-palle-35581,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/diadora_shorts_bla_barnklader_35581-f82y.jpg,product-entry-id-35581,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35581
BERMUDA 5 PALLE,Diadora,boy,SHORTS,XXL,"
149 SEK249 SEK ",https://kidsbrandstore.se/diadora-bermuda-5-palle-35581,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/diadora_shorts_bla_barnklader_35581-f82y.jpg,product-entry-id-35581,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35581
BERMUDA 5 PALLE,Diadora,boy,SHORTS,M,"
149 SEK249 SEK ",https://kidsbrandstore.se/diadora-bermuda-5-palle-35580,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/diadora_shorts_gra_barnklader_35580-gdx6.jpg,product-entry-id-35580,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35580
BERMUDA 5 PALLE,Diadora,boy,SHORTS,L,"
149 SEK249 SEK ",https://kidsbrandstore.se/diadora-bermuda-5-palle-35580,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/diadora_shorts_gra_barnklader_35580-gdx6.jpg,product-entry-id-35580,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35580
BERMUDA 5 PALLE,Diadora,boy,SHORTS,XL,"
149 SEK249 SEK ",https://kidsbrandstore.se/diadora-bermuda-5-palle-35580,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/diadora_shorts_gra_barnklader_35580-gdx6.jpg,product-entry-id-35580,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35580
BERMUDA 5 PALLE,Diadora,boy,SHORTS,XXL,"
149 SEK249 SEK ",https://kidsbrandstore.se/diadora-bermuda-5-palle-35580,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/diadora_shorts_gra_barnklader_35580-gdx6.jpg,product-entry-id-35580,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-35580
FELICIS SHORT YOUTH,Quiksilver,boy,SHORTS,S,"
221 SEK369 SEK ",https://kidsbrandstore.se/quiksilver-felicis-short-youth-34268,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/quiksilver_shorts_gra_barnklader_34268-j62i.jpg,product-entry-id-34268,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34268
FELICIS SHORT YOUTH,Quiksilver,boy,SHORTS,M,"
221 SEK369 SEK ",https://kidsbrandstore.se/quiksilver-felicis-short-youth-34268,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/quiksilver_shorts_gra_barnklader_34268-j62i.jpg,product-entry-id-34268,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34268
FELICIS SHORT YOUTH,Quiksilver,boy,SHORTS,L,"
221 SEK369 SEK ",https://kidsbrandstore.se/quiksilver-felicis-short-youth-34268,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/quiksilver_shorts_gra_barnklader_34268-j62i.jpg,product-entry-id-34268,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34268
FELICIS SHORT YOUTH,Quiksilver,boy,SHORTS,XL,"
221 SEK369 SEK ",https://kidsbrandstore.se/quiksilver-felicis-short-youth-34268,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/quiksilver_shorts_gra_barnklader_34268-j62i.jpg,product-entry-id-34268,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34268
NEYMAR SHORTS,Hummel,boy,SHORTS,128 cm,"
227 SEK379 SEK ",https://kidsbrandstore.se/hummel-neymar-shorts-34220,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/hummel_shorts_bla_barnklader_34220-o3rg.jpg,product-entry-id-34220,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34220
NEYMAR SHORTS,Hummel,boy,SHORTS,140 cm,"
227 SEK379 SEK ",https://kidsbrandstore.se/hummel-neymar-shorts-34220,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/hummel_shorts_bla_barnklader_34220-o3rg.jpg,product-entry-id-34220,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34220
NEYMAR SHORTS,Hummel,boy,SHORTS,152 cm,"
227 SEK379 SEK ",https://kidsbrandstore.se/hummel-neymar-shorts-34220,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/hummel_shorts_bla_barnklader_34220-o3rg.jpg,product-entry-id-34220,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34220
NEYMAR SHORTS,Hummel,boy,SHORTS,164 cm,"
227 SEK379 SEK ",https://kidsbrandstore.se/hummel-neymar-shorts-34220,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/hummel_shorts_bla_barnklader_34220-o3rg.jpg,product-entry-id-34220,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34220
WORKER STRAIGHT 18.5 BOY,DC,boy,SHORTS,10 år,"
299 SEK499 SEK ",https://kidsbrandstore.se/dc-worker-straight-185-boy-34321,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/dc_shorts_beige_barnklader_34321-zem-.jpg,product-entry-id-34321,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34321
WORKER STRAIGHT 18.5 BOY,DC,boy,SHORTS,12 år,"
299 SEK499 SEK ",https://kidsbrandstore.se/dc-worker-straight-185-boy-34321,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/dc_shorts_beige_barnklader_34321-zem-.jpg,product-entry-id-34321,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34321
WORKER STRAIGHT 18.5 BOY,DC,boy,SHORTS,14 år,"
299 SEK499 SEK ",https://kidsbrandstore.se/dc-worker-straight-185-boy-34321,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/dc_shorts_beige_barnklader_34321-zem-.jpg,product-entry-id-34321,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34321
WORKER STRAIGHT 18.5 BOY,DC,boy,SHORTS,16 år,"
299 SEK499 SEK ",https://kidsbrandstore.se/dc-worker-straight-185-boy-34321,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/dc_shorts_beige_barnklader_34321-zem-.jpg,product-entry-id-34321,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34321
RIPSTOP CARGO SHORT 18.5 BOY,DC,boy,SHORTS,10 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/dc-ripstop-cargo-short-185-boy-34322,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/dc_shorts_gron_barnklader_34322-9j2s.jpg,product-entry-id-34322,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34322
RIPSTOP CARGO SHORT 18.5 BOY,DC,boy,SHORTS,12 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/dc-ripstop-cargo-short-185-boy-34322,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/dc_shorts_gron_barnklader_34322-9j2s.jpg,product-entry-id-34322,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34322
RIPSTOP CARGO SHORT 18.5 BOY,DC,boy,SHORTS,14 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/dc-ripstop-cargo-short-185-boy-34322,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/dc_shorts_gron_barnklader_34322-9j2s.jpg,product-entry-id-34322,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34322
RIPSTOP CARGO SHORT 18.5 BOY,DC,boy,SHORTS,16 år,"
359 SEK599 SEK ",https://kidsbrandstore.se/dc-ripstop-cargo-short-185-boy-34322,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/dc_shorts_gron_barnklader_34322-9j2s.jpg,product-entry-id-34322,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34322
Afon JR Shorts,8848 Altitude,boy,SHORTS,130 cm,"
299 SEK499 SEK ",https://kidsbrandstore.se/8848-altitude-afon-jr-shorts-34142,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/8848-altitude_shorts_svart_barnklader_34142-41aq.jpg,product-entry-id-34142,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34142
Afon JR Shorts,8848 Altitude,boy,SHORTS,140 cm,"
299 SEK499 SEK ",https://kidsbrandstore.se/8848-altitude-afon-jr-shorts-34142,https://d1zubn5gsgrqpe.cloudfront.net/images/product/thumb/8848-altitude_shorts_svart_barnklader_34142-41aq.jpg,product-entry-id-34142,https://storage.googleapis.com/urbankiddo/kidsbrandstore/product-entry-id-34142
